Date,Temperature,Humidity,Rainfall,Wind_Speed,Location,Drought,Month_weather,Season_weather,pH,Nitrogen,Phosphorus,Potassium,Moisture,Month_soil,Season_soil,Soil_Moisture_Category,Weather_Soil_Combination,Month,State,Pest,Month_pest
2023-01-01,33.02822818651641,56.91892046990401,1.2939223890004994,7.970066854136634,California,0,1,Winter,6.178960699277022,34.48025747967295,5.116472512246295,198.0803121529084,23.371004746330968,1,Winter,Dry,Dry_Hot,1,California,Cutworms,1
2023-01-01,33.02822818651641,56.91892046990401,1.2939223890004994,7.970066854136634,California,0,1,Winter,6.178960699277022,34.48025747967295,5.116472512246295,198.0803121529084,23.371004746330968,1,Winter,Dry,Dry_Hot,1,California,Corn Rootworm,1
2023-01-02,22.91429798292095,34.73101874047606,2.070074533301977,0.2953341980575086,California,0,1,Winter,7.319933578753362,55.584657227593226,98.14439523329943,162.43673743917228,15.558811299714264,1,Winter,Very Dry,Very Dry_Cool,1,California,Armyworms,1
2023-01-03,22.030123255742303,64.94122758411828,0.3325704240302949,13.725967426367747,California,0,1,Winter,6.688915720655729,71.36978557545599,12.787636159567985,63.46430093039071,10.228544494450858,1,Winter,Very Dry,Very Dry_Cool,1,California,Cutworms,1
2023-01-03,22.030123255742303,64.94122758411828,0.3325704240302949,13.725967426367747,California,0,1,Winter,6.688915720655729,71.36978557545599,12.787636159567985,63.46430093039071,10.228544494450858,1,Winter,Very Dry,Very Dry_Cool,1,California,Corn Rootworm,1
2023-01-05,23.27936747429236,89.01849176218832,6.984390710136651,16.993784520988417,California,0,1,Winter,6.306572964436999,40.71696679248692,32.24962187549205,123.87305327793116,39.73969987550105,1,Winter,Dry,Dry_Cool,1,California,Japanese Beetle,1
2023-01-07,15.450173942975557,72.82972441473552,2.734937566366607,19.38689158050788,California,0,1,Winter,7.106304621654102,31.017224871093497,22.52515360981461,182.8623056452124,25.927151742059657,1,Winter,Dry,Dry_Cool,1,California,Armyworms,1
2023-01-07,15.450173942975557,72.82972441473552,2.734937566366607,19.38689158050788,California,0,1,Winter,7.106304621654102,31.017224871093497,22.52515360981461,182.8623056452124,25.927151742059657,1,Winter,Dry,Dry_Cool,1,California,Corn Rootworm,1
2023-01-08,22.00147946686373,66.00742903934628,13.192054918370562,5.765780830677409,California,0,1,Winter,7.413524521291529,77.18292154535035,4.431825421784796,125.8504358820926,36.203872652610016,1,Winter,Dry,Dry_Cool,1,California,Aphids,1
2023-01-09,11.405167556872964,87.07922060890967,15.936449455359877,5.303838682447215,California,0,1,Winter,5.68047381753892,98.0003009403168,24.46524773765,28.349659611652733,15.085105039791648,1,Winter,Very Dry,Very Dry_Cool,1,California,Japanese Beetle,1
2023-01-17,10.085828613091266,86.37242972069782,15.936449455359877,8.859683339476721,California,0,1,Winter,6.97290286974434,92.94614562850104,65.07697998419235,221.92948041376025,39.4775988742484,1,Winter,Dry,Dry_Cool,1,California,Cutworms,1
2023-01-20,11.966466597915511,76.0841008360074,7.834412287109291,2.00785943093768,California,0,1,Winter,5.830321453518231,63.98805469418897,9.336526576554927,236.35699177074852,23.12898733222004,1,Winter,Dry,Dry_Cool,1,California,Corn Rootworm,1
2023-01-21,18.391542648724663,85.44790511150657,1.350940439570414,18.08741181494516,California,0,1,Winter,5.702227538652974,67.44308062905901,32.400425214805125,108.21465032973816,38.92925645772329,1,Winter,Dry,Dry_Cool,1,California,Japanese Beetle,1
2023-01-23,29.11112769410576,36.13096830675413,0.0128051017157713,6.205642872226143,California,0,1,Winter,7.259597466965528,34.233644458888875,10.323416929846118,79.19496547686512,18.88118537392528,1,Winter,Very Dry,Very Dry_Hot,1,California,Armyworms,1
2023-01-30,19.41368005430496,74.53524089271774,1.8083044879967785,15.40321392329381,California,0,1,Winter,6.189154763175695,20.54913334926023,5.151481279940063,142.01859709024183,16.66266253927814,1,Winter,Very Dry,Very Dry_Cool,1,California,Aphids,1
2023-02-02,24.670318611975187,83.5957606608394,0.7354671774643409,14.368548145821796,California,0,2,Winter,7.464815332900161,72.70203782718048,22.64491434597368,15.01186265276827,13.519506008359336,2,Winter,Very Dry,Very Dry_Cool,2,California,Corn Rootworm,2
2023-02-08,28.93194331114528,51.938089262866896,10.180063028027014,1.0223184944755448,California,0,2,Winter,6.760960400733792,21.01390712444573,32.40256953025175,85.19209114695585,25.6325992132262,2,Winter,Dry,Dry_Hot,2,California,Aphids,2
2023-02-08,28.93194331114528,51.938089262866896,10.180063028027014,1.0223184944755448,California,0,2,Winter,6.760960400733792,21.01390712444573,32.40256953025175,85.19209114695585,25.6325992132262,2,Winter,Dry,Dry_Hot,2,California,Aphids,2
2023-02-09,11.956361373662642,59.62929107913767,3.539711455219891,11.772834740973613,California,0,2,Winter,6.321918813348615,90.62470867522842,23.475164634719945,93.92023768242942,20.511651180517504,2,Winter,Dry,Dry_Cool,2,California,Aphids,2
2023-02-09,11.956361373662642,59.62929107913767,3.539711455219891,11.772834740973613,California,0,2,Winter,6.321918813348615,90.62470867522842,23.475164634719945,93.92023768242942,20.511651180517504,2,Winter,Dry,Dry_Cool,2,California,Armyworms,2
2023-02-09,11.956361373662642,59.62929107913767,3.539711455219891,11.772834740973613,California,0,2,Winter,6.321918813348615,90.62470867522842,23.475164634719945,93.92023768242942,20.511651180517504,2,Winter,Dry,Dry_Cool,2,California,Cutworms,2
2023-02-17,18.22137534754136,75.19030024737518,1.8552545439249069,14.642202347871692,California,0,2,Winter,6.897398011060285,2.8301460509613685,64.96092462795487,112.373711502076,32.973957449777515,2,Winter,Dry,Dry_Cool,2,California,Cutworms,2
2023-02-18,13.223314698609464,35.45676556439132,15.936449455359877,16.5934522780199,California,0,2,Winter,6.965436081180536,48.381354262342455,9.705876457374009,187.74444686217345,16.310797001557646,2,Winter,Very Dry,Very Dry_Cool,2,California,Cutworms,2
2023-02-21,21.02500252183385,51.08156374950492,7.0111206442922125,1.8991628341737865,California,0,2,Winter,5.7532689953809495,30.54355691374946,3.2767823753135805,21.90718792112396,34.674591693401055,2,Winter,Dry,Dry_Cool,2,California,Cutworms,2
2023-02-27,23.28970843263876,80.51848720159987,0.1595103816232648,5.197530962563375,California,0,2,Winter,6.968858036677823,87.67982168621701,35.60742959231275,189.59431705055263,12.699446340412166,2,Winter,Very Dry,Very Dry_Cool,2,California,Aphids,2
2023-02-28,27.292233172741994,89.73565475701102,8.162552240802711,8.193302405169973,California,0,2,Winter,6.182317234459436,65.9550724691362,63.43600307556818,187.29068776238168,19.39071482081882,2,Winter,Very Dry,Very Dry_Hot,2,California,Japanese Beetle,2
2023-03-02,30.339013924805847,75.09631366861825,5.999875458445595,9.541309810075822,California,0,3,Winter,7.268204178518931,17.697222643232745,26.35292402309381,35.50328562346955,29.615695348624072,3,Winter,Dry,Dry_Hot,3,California,Corn Rootworm,3
2023-03-02,30.339013924805847,75.09631366861825,5.999875458445595,9.541309810075822,California,0,3,Winter,7.268204178518931,17.697222643232745,26.35292402309381,35.50328562346955,29.615695348624072,3,Winter,Dry,Dry_Hot,3,California,Aphids,3
2023-03-02,30.339013924805847,75.09631366861825,5.999875458445595,9.541309810075822,California,0,3,Winter,7.268204178518931,17.697222643232745,26.35292402309381,35.50328562346955,29.615695348624072,3,Winter,Dry,Dry_Hot,3,California,Japanese Beetle,3
