Date,Location,Crop_Type,Growth_Stage,Pest_Management,Planting_Season
2023-01-01,California,Wheat,Flowering,Biological Control,Winter
2023-01-02,California,Soybeans,Seedling,Cultural Control,Winter
2023-01-03,California,Rice,Seedling,Chemical Control,Winter
2023-01-04,California,Rice,Fruiting,No Control,Winter
2023-01-05,California,Cotton,Seedling,Cultural Control,Winter
2023-01-06,California,Soybeans,Seedling,Chemical Control,Winter
2023-01-07,California,Soybeans,Seedling,Chemical Control,Winter
2023-01-08,California,Wheat,Vegetative,No Control,Winter
2023-01-09,California,Soybeans,Seedling,Biological Control,Winter
2023-01-10,California,Rice,Fruiting,Chemical Control,Winter
2023-01-11,California,Soybeans,Fruiting,Cultural Control,Winter
2023-01-12,California,Cotton,Flowering,No Control,Winter
2023-01-13,California,Soybeans,Seedling,No Control,Winter
2023-01-14,California,Wheat,Mature,Cultural Control,Winter
2023-01-15,California,Corn,Flowering,No Control,Winter
2023-01-16,California,Soybeans,Fruiting,Chemical Control,Winter
2023-01-17,California,Wheat,Seedling,Cultural Control,Winter
2023-01-18,California,Wheat,Vegetative,Chemical Control,Winter
2023-01-19,California,Cotton,Seedling,Chemical Control,Winter
2023-01-20,California,Corn,Fruiting,No Control,Winter
2023-01-21,California,Corn,Vegetative,Chemical Control,Winter
2023-01-22,California,Soybeans,Mature,Cultural Control,Winter
2023-01-23,California,Corn,Vegetative,Chemical Control,Winter
2023-01-24,California,Wheat,Seedling,Chemical Control,Winter
2023-01-25,California,Cotton,Vegetative,Biological Control,Winter
2023-01-26,California,Rice,Fruiting,Cultural Control,Winter
2023-01-27,California,Wheat,Fruiting,Chemical Control,Winter
2023-01-28,California,Rice,Mature,Chemical Control,Winter
2023-01-29,California,Rice,Flowering,Biological Control,Winter
2023-01-30,California,Cotton,Mature,Chemical Control,Winter
2023-01-31,California,Wheat,Flowering,Biological Control,Winter
2023-02-01,California,Corn,Flowering,Cultural Control,Winter
2023-02-02,California,Soybeans,Mature,Cultural Control,Winter
2023-02-03,California,Corn,Vegetative,Cultural Control,Winter
2023-02-04,California,Soybeans,Seedling,Biological Control,Winter
2023-02-05,California,Soybeans,Vegetative,No Control,Winter
2023-02-06,California,Corn,Mature,Biological Control,Winter
2023-02-07,California,Wheat,Fruiting,Biological Control,Winter
2023-02-08,California,Soybeans,Vegetative,Cultural Control,Winter
2023-02-09,California,Cotton,Flowering,Cultural Control,Winter
2023-02-10,California,Soybeans,Fruiting,Biological Control,Winter
2023-02-11,California,Cotton,Vegetative,Cultural Control,Winter
2023-02-12,California,Corn,Flowering,No Control,Winter
2023-02-13,California,Rice,Flowering,Cultural Control,Winter
2023-02-14,California,Corn,Vegetative,Chemical Control,Winter
2023-02-15,California,Rice,Flowering,Cultural Control,Winter
2023-02-16,California,Wheat,Mature,Chemical Control,Winter
2023-02-17,California,Corn,Fruiting,Cultural Control,Winter
2023-02-18,California,Corn,Seedling,Chemical Control,Winter
2023-02-19,California,Soybeans,Seedling,Cultural Control,Winter
2023-02-20,California,Cotton,Mature,Biological Control,Winter
2023-02-21,California,Cotton,Mature,Biological Control,Winter
2023-02-22,California,Corn,Vegetative,Biological Control,Winter
2023-02-23,California,Rice,Fruiting,Cultural Control,Winter
2023-02-24,California,Soybeans,Flowering,Biological Control,Winter
2023-02-25,California,Rice,Seedling,Cultural Control,Winter
2023-02-26,California,Wheat,Vegetative,Biological Control,Winter
2023-02-27,California,Rice,Fruiting,Chemical Control,Winter
2023-02-28,California,Wheat,Flowering,No Control,Winter
2023-03-01,California,Cotton,Fruiting,Cultural Control,Spring
2023-03-02,California,Cotton,Fruiting,Biological Control,Spring
2023-03-03,California,Cotton,Mature,No Control,Spring
2023-03-04,California,Cotton,Vegetative,No Control,Spring
2023-03-05,California,Soybeans,Mature,Chemical Control,Spring
2023-03-06,California,Corn,Flowering,Cultural Control,Spring
2023-03-07,California,Soybeans,Seedling,Chemical Control,Spring
