Date,Pest,Life_Cycle_Stage,Crop_Affected,State,Infestation_Level
2023-01-01,Cutworms,Pupa,Corn,California,High
2023-01-01,Corn Rootworm,Pupa,Soybeans,California,High
2023-01-02,Corn Rootworm,Adult,Cotton,Illinois,Medium
2023-01-02,Armyworms,Egg,Wheat,California,Low
2023-01-02,Armyworms,Pupa,Wheat,Iowa,Medium
2023-01-02,Aphids,Adult,Rice,Nebraska,High
2023-01-03,Armyworms,Egg,Corn,Iowa,Medium
2023-01-03,Cutworms,Adult,Corn,California,Medium
2023-01-03,Japanese Beetle,Egg,Corn,Illinois,Low
2023-01-03,Armyworms,Pupa,Corn,Texas,Low
2023-01-03,Corn Rootworm,Pupa,Wheat,California,Medium
2023-01-03,Corn Rootworm,Pupa,Cotton,Nebraska,Low
2023-01-04,Cutworms,Egg,Corn,Texas,High
2023-01-04,Aphids,Pupa,Corn,Illinois,Medium
2023-01-05,Japanese Beetle,Pupa,Wheat,California,Low
2023-01-05,Armyworms,Pupa,Soybeans,Illinois,Medium
2023-01-06,Cutworms,Pupa,Soybeans,Iowa,Low
2023-01-06,Japanese Beetle,Adult,Rice,Texas,High
2023-01-07,Aphids,Adult,Rice,Nebraska,Medium
2023-01-07,Cutworms,Larva,Wheat,Illinois,Low
2023-01-07,Armyworms,Pupa,Rice,California,Low
2023-01-07,Aphids,Adult,Cotton,Texas,Low
2023-01-07,Corn Rootworm,Larva,Wheat,California,High
2023-01-08,Armyworms,Larva,Rice,Nebraska,High
2023-01-08,Aphids,Adult,Corn,California,Medium
2023-01-08,Armyworms,Egg,Wheat,Nebraska,Medium
2023-01-08,Cutworms,Larva,Wheat,Nebraska,Low
2023-01-08,Aphids,Pupa,Rice,Texas,Medium
2023-01-09,Japanese Beetle,Larva,Soybeans,California,Low
2023-01-09,Aphids,Egg,Wheat,Nebraska,Medium
2023-01-10,Japanese Beetle,Egg,Wheat,Iowa,High
2023-01-10,Corn Rootworm,Adult,Rice,Texas,Medium
2023-01-10,Cutworms,Adult,Soybeans,Iowa,Low
2023-01-11,Corn Rootworm,Egg,Corn,Illinois,Low
2023-01-11,Aphids,Egg,Soybeans,Texas,Low
2023-01-11,Armyworms,Larva,Corn,Texas,Medium
2023-01-12,Armyworms,Adult,Rice,Illinois,Low
2023-01-12,Corn Rootworm,Larva,Corn,Texas,Medium
2023-01-12,Japanese Beetle,Pupa,Rice,Nebraska,Low
2023-01-13,Armyworms,Egg,Rice,Iowa,Low
